id,revenue,gas_fee_base_raw,profit
12377,466355909,57224371,409131538
12378,118610953,10971354,107639599
12379,472477086,10993622,461483464
12380,472477086,10993622,461483464
12381,472477086,10993622,461483464
12382,171434861,36187909,135246952
12383,62116876,11460907,50655969
12384,45656583,10328113,35328470
12385,79485879,32092829,47393050
12386,74582302,17805971,56776331
12391,0,11851393,-11851393
12392,0,11851393,-11851393
12387,0,11851393,-11851393
12388,0,11851393,-11851393
12389,0,11851393,-11851393
12390,0,11851393,-11851393
12393,46463817,16667198,29796619
12394,46463817,16667198,29796619
12395,46463817,16667198,29796619
12396,124276444,14149818,110126626
12397,0,15994212,-15994212
12398,51037028,15206412,35830616
12399,0,15113134,-15113134
12400,0,15113134,-15113134
12401,55843805,15797872,40045933
12402,33629304,38213138,-4583834
12403,45309213,14240997,31068216
12405,4536458,146785605,-142249147
12404,4536458,146785605,-142249147
12406,506630250,9387533,497242717
12407,106304536,17679115,88625421
12408,748777469,147602673,601174796
12409,748777469,147602673,601174796
12410,251501815,142911529,108590286
12411,0,19991122,-19991122
12412,44945949,18484074,26461875
12414,0,34034992,-34034992
12415,0,34034992,-34034992
12416,0,34034992,-34034992
12413,0,34034992,-34034992
12417,0,19995322,-19995322
12418,71258264,17810976,53447288
12419,0,21064999,-21064999
12420,68697664,30869776,37827888
12421,47896522,20042828,27853694
12422,71028282,23046099,47982183
12423,255229351,21964783,233264568
12424,255229351,21964783,233264568
12425,255229351,21964783,233264568
12426,255229351,21964783,233264568
12427,255229351,21964783,233264568
12428,255229351,21964783,233264568
12429,255229351,21964783,233264568
12430,173070010,28873910,144196100
12431,173070010,28873910,144196100
12432,0,24665458,-24665458
12433,186961101,157274013,29687088
12434,612158683,16030940,596127743
12435,612158683,16030940,596127743
12436,0,21944802,-21944802
12437,12603807,36070965,-23467158
12438,2073355313,130554368,1942800945
12439,55701445,23806404,31895041
12440,120251799,13124803,107126996
12441,88124385,13916096,74208289
12442,0,15333244,-15333244
12443,244993270,15191936,229801334
12444,244993270,15191936,229801334
12445,244993270,15191936,229801334
12446,244993270,15191936,229801334
12447,37772886,23619567,14153319
12448,55129094,18934484,36194610
12449,89236519,24428812,64807707
12450,124989543,14727155,110262388
12451,14804406,14121132,683274
12452,14804406,14121132,683274
12454,0,133533917,-133533917
12455,0,133533917,-133533917
12456,0,133533917,-133533917
12457,0,133533917,-133533917
12458,0,133533917,-133533917
12453,0,133533917,-133533917
12459,62931706,23752262,39179444
12460,115619413,21592856,94026557
12461,115619413,21592856,94026557
12462,77485268,26712176,50773092
12463,88696046,48354864,40341182
12464,88696046,48354864,40341182
12465,212686881,87738518,124948363
12466,329998442,23358688,306639754
6524,39660234,22762382,16897852
12467,92307203,34262789,58044414
12468,488402095,16512668,471889427
12469,488402095,16512668,471889427
12470,0,12132671,-12132671
12471,299611251,12979472,286631779
12472,104917554,15345191,89572363
12473,92786478,17796667,74989811
12474,121500203,13794658,107705545
12475,197610764,24305857,173304907
12476,18313954,13642357,4671597
12477,0,17109390,-17109390
12478,474933697,13025504,461908193
12479,474933697,13025504,461908193
12480,69185481,15891646,53293835
12481,39533787,12265718,27268069
12482,171109735,31875869,139233866
12483,124636200,14177767,110458433
12484,0,30695346,-30695346
12485,0,30695346,-30695346
12486,0,30695346,-30695346
12487,0,30695346,-30695346
12488,0,30695346,-30695346
12489,339153618,135387669,203765949
12490,339153618,135387669,203765949
12491,0,148996446,-148996446
12492,142515085,49893509,92621576
12493,443055700,14813901,428241799
12494,175921588,18498203,157423385
12495,80098060,23994768,56103292
12496,73725150,17895898,55829252
12497,0,25217354,-25217354
12498,0,25217354,-25217354
12499,167689033,70955039,96733994
9003,0,26545520,-26545520
9004,0,21832840,-21832840
12500,63264891,27977712,35287179
12502,0,107663964,-107663964
12501,0,107663964,-107663964
12503,0,52849174,-52849174
12504,87413083,23825747,63587336
12505,69955215,23824586,46130629
12506,77582818,23822266,53760552
12507,138898009,23794580,115103429
677,0,24769551,-24769551
12508,0,140599341,-140599341
12509,0,178389652,-178389652
12510,211405483,44888209,166517274
12511,96714038,13240566,83473472
12512,51303638,13739178,37564460
12513,409406079,9975770,399430309
12514,36828468,10744719,26083749
7630,24350748,18789490,5561258
7631,81060588,19928815,61131773
12515,384066945,130441393,253625552
12516,0,31520569,-31520569
12517,62828787,12063637,50765150
12518,153087590,82426225,70661365
12522,80319893,19850799,60469094
12519,80319893,19850799,60469094
12520,80319893,19850799,60469094
12521,80319893,19850799,60469094
12523,76512728,15468575,61044153
12524,76512728,15468575,61044153
12525,56953859,19116830,37837029
6525,43356201,15377268,27978933
12526,52948181,15921949,37026232
12527,177743104,24507179,153235925
12528,61238066,18927210,42310856
